"","COD","RUA","REFERENCIA","ABRIGO","LATITUDE","LONGITUDE","ROTA"
"2462","441","INDEPENDÊNCIA","112","",-7.22419302910566,-35.8977750129998,"555"
"441","442","OSVALDO CRUZ","382","",-7.22491898573935,-35.9001900069416,"555"
"442","443","OSVALDO CRUZ","505 - OPOSTO","SIM",-7.22526901401579,-35.9014639724046,"555"
"443","444","OSVALDO CRUZ","785","SIM",-7.22574200481176,-35.9030550252646,"555"
"444","445","OSVALDO CRUZ","EMBRAPA","SIM",-7.22690298222005,-35.9071510098875,"555"
"445","446","OSVALDO CRUZ","1309 - OPOSTO","SIM",-7.22731797024608,-35.9084360394627,"555"
"446","447","OSVALDO CRUZ","290","",-7.22719500772655,-35.9110650233924,"555"
"447","448","FRANCISCO ROBERTO","472","",-7.22724697552621,-35.912852967158,"555"
"1459","449","ASSEMBLEIA DE DEUS","468","",-7.22559800371528,-35.912424987182,"555"
"9549","451","APRÍGIO VELOSO","UFCG","",-7.21719900146127,-35.9090940188617,"555"
"9550","452","APRÍGIO VELOSO","UFCG","",-7.21719900146127,-35.9090940188617,"555"
"9551","453","APRÍGIO VELOSO","UFCG","SIM",-7.21716698259115,-35.9090029913932,"555"
"9552","454","APRÍGIO VELOSO","LAVA-JATO - OPOSTO","",-7.21715499646962,-35.9107529651374,"555"
"1466","456","ABEL COSTA","427","",-7.22043701447546,-35.9086379595101,"555"
"4500","457","APRÍGIO VELOSO","CANTINHO UNIVERSITARIO","SIM",-7.21743503585458,-35.9092199988663,"555"
"3490","458","APRÍGIO VELOSO","CABRAL","SIM",-7.21667798236012,-35.9071769937873,"555"
"3491","459","APRÍGIO VELOSO","CABRAL","SIM",-7.21667798236012,-35.9071769937873,"555"
"3492","460","APRÍGIO VELOSO","LUCENA RACOES","SIM",-7.21617003902793,-35.9045879915357,"555"
"460","461","JOSE AUGUSTO TRINDADE","76","",-7.21492197364569,-35.9004090260714,"555"
"461","462","JOSE AUGUSTO TRINDADE","326A","SIM",-7.2127799782902,-35.8992929756641,"555"
"462","463","JOSE AUGUSTO TRINDADE","407 - OPOSTO","",-7.21161698922515,-35.8990949951112,"555"
"463","464","JOAO SUASSUNA","1313 - OPOSTO","SIM",-7.21153602004051,-35.8979220315814,"555"
"1475","465","SANTINA LEAO","98","",-7.2103469632566,-35.8985749818385,"555"
"465","466","PROFESSOR BALBINO","10","",-7.20998000353575,-35.8978699799627,"555"
"466","467","FRANCISCO BORGES DA COSTA","150","SIM",-7.20719796605408,-35.8972710091621,"555"
"467","468","SAMUEL FERNANDES","331","",-7.20579198561609,-35.900703985244,"555"
"468","469","AGOSTINHO SANTOS","147","",-7.2051989659667,-35.9015079773962,"555"
"469","470","ADALGISA RAMOS RAIA","192","",-7.20355301164091,-35.9034059755504,"555"
"470","471","ADALGISA RAMOS RAIA","40 - OPOSTO","",-7.20250099897385,-35.9024760033935,"555"
"471","472","MANOEL ALEXANDRINO DE ARAUJO","313","",-7.20295898616314,-35.9013609588146,"555"
"472","473","MANOEL ALEXANDRINO DE ARAUJO","169","",-7.204435961321,-35.9013740345836,"555"
"473","474","SAO LUCAS","480","",-7.20462203957141,-35.9008769877255,"555"
"474","475","CONDE DE MONTE CRISTO","154 - OPOSTO","SIM",-7.20265103504062,-35.8975949697196,"555"
"475","476","SIQUEIRA CAMPOS","1045","",-7.21504602581263,-35.8900619857013,"555"
"2569","548","ASSIS CHATEAUBRIAND","300","",-7.23075496964157,-35.889254976064,"555"
"4616","573"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"555"
"4617","574"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"555"
"5631","577","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"555"
"5632","578","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"555"
"4622","579","SEVERINO BEZERRA CABRAL ","EXTRA","SIM",-7.23486604169011,-35.868728030473,"555"
"105","106","FLORIANO PEIXOTO ","DAMAS","SIM",-7.22032201476395,-35.8858469780535,"660"
"6174","109","FLORIANO PEIXOTO"," REAL CLUBE","SIM",-7.22393997944892,-35.8936429861933,"660"
"2131","110","FLORIANO PEIXOTO","HELENO CABELEREIRO","SIM",-7.22647399641573,-35.8990079909563,"660"
"2132","111","FLORIANO PEIXOTO","1640","",-7.2281870059669,-35.9028560388833,"660"
"2133","112","FLORIANO PEIXOTO ","MULTI CAR - OPOSTO","SIM",-7.2300280071795,-35.9071439690888,"660"
"2134","113","FLORIANO PEIXOTO","2380","SIM",-7.23089100793004,-35.9090940188617,"660"
"1124","114","FLORIANO PEIXOTO ","VERBO DA VIDA - OPOSTO","",-7.23315202631056,-35.9141540061682,"660"
"1125","115"," FLORIANO PEIXOTO ","IGREJA EVANGELICA","",-7.23421703092754,-35.9166219737381,"660"
"1126","116"," FLORIANO PEIXOTO ","MAXXI ATACADO","SIM",-7.23484500311315,-35.9180430416018,"660"
"1127","117"," FLORIANO PEIXOTO","4060","SIM",-7.23682296462357,-35.9226769767702,"660"
"4173","130"," FLORIANO PEIXOTO ","PIZZARELLA - OPOSTO","SIM",-7.23120097070932,-35.9093179833144,"660"
"4174","131"," FLORIANO PEIXOTO ","MULTICAR","SIM",-7.23035297356546,-35.9074270259589,"660"
"4175","132"," FLORIANO PEIXOTO","1819","SIM",-7.22904103808105,-35.9045159909874,"660"
"2154","133"," FLORIANO PEIXOTO","1800","",-7.22879100590944,-35.9043090417981,"660"
"4178","135"," FLORIANO PEIXOTO"," 1359","",-7.2277659829706,-35.9014629665762,"660"
"4179","136"," FLORIANO PEIXOTO ","IGREJA SAO CRISTOVAO","SIM",-7.22669896669686,-35.8990730345249,"660"
"4180","137"," FLORIANO PEIXOTO ","APTA - OPOSTO","SIM",-7.22506399266422,-35.8956040162593,"660"
"4181","138"," FLORIANO PEIXOTO"," 845","",-7.2238630335778,-35.8930979948491,"660"
"2174","153","FLORIANO PEIXOTO","1328","",-7.22732802852988,-35.9010329749435,"660"
"2175","154","FLORIANO PEIXOTO ","PIZZARELLA","SIM",-7.23104196600616,-35.9093950130045,"660"
"2592","571"," FLORIANO PEIXOTO","1800","",-7.22879100590944,-35.9043090417981,"660"
"4615","572"," FLORIANO PEIXOTO"," 845","",-7.2238630335778,-35.8930979948491,"660"
"2675","655","PLINIO LEMOS","MERCADO DAS MALVINAS - OPOSTO","",-7.2366140037775,-35.9242139663547,"660"
"654","656","PLINIO LEMOS","PIRAMIDAL BAR - OPOSTO","SIM",-7.23439900204539,-35.9251320362091,"660"
"655","657","PLINIO LEMOS","380 - OPOSTO","SIM",-7.23171201534569,-35.9262569714338,"660"
"656","658","LEONARDO COSTA VASCONCELOS","07","",-7.23076703958213,-35.9249799884856,"660"
"657","659","LEONARDO COSTA VASCONCELOS","RESTAURANTE VITORIA - OPOSTO","",-7.23042899742723,-35.9241149760783,"660"
"658","660","GUARABIRA","VERA CABELEREIRA - OPOSTO","",-7.23051600158215,-35.9225589595735,"660"
"659","661","SEBASTIAO MARTINS DE OLIVEIRA","HAIR FLY - OPOSTO","SIM",-7.22963296808302,-35.9211239777505,"660"
"688","690","OLINDA","86A","",-7.2349030058831,-35.9267260227352,"660"
"689","691","OLINDA","162","",-7.2352259606123,-35.9275850001723,"660"
"690","692","SANTAREM","314","",-7.23423999734223,-35.92823702842,"660"
"691","693","GARANHUNS","65 - OPOSTO","SIM",-7.23378502763808,-35.9291809983552,"660"
"692","694","GARANHUNS","235 - OPOSTO","",-7.23446303978562,-35.930842962116,"660"
"693","695","MARIA DA GUIA MUNIZ ALBUQUERQUE","700","",-7.23365603014827,-35.931686013937,"660"
"694","696","MARIA DA GUIA MUNIZ ALBUQUERQUE","850","",-7.23258096724749,-35.9318839944899,"660"
"695","697","MARIA DA GUIA MUNIZ ALBUQUERQUE","1090","",-7.23072102293372,-35.9319580066949,"660"
"696","698","MARIA DA GUIA MUNIZ ALBUQUERQUE","THIAGO CABELEREIRO","SIM",-7.22933800891042,-35.9317990019917,"660"
"697","699","MARIA DA GUIA MUNIZ ALBUQUERQUE","112B","",-7.22729802131653,-35.9315900411457,"660"
"3731","700","CAICO","PONTO FINAL","",-7.22570696845651,-35.9317339584231,"660"
